aspect term	polarity	text	category
;performance	 negative	Very pour performance.	 laptop
;null	 negative	It takes for ever to wake it up.	 laptop
;null;null	 negative negative	Sometimes It stops receiving wifi signal, so I have to restart it.	 laptop laptop
;null	 negative	It is very slow and not responsive.	 laptop
;null	 negative	Would not recommend.	 laptop
;glare	 negative	Glare is also pretty frustrating.	 display
;null	 negative	There is definitely more to say...	 laptop
;null	 positive	I tested it, it worked great.	 laptop
;null;null	 negative negative	He received it, and one day later it DIES.	 laptop laptop
;null	 negative	The laptop refuses to start, we have troubleshooted all areas, still fails to start.	 laptop
;bios	 negative	Cannot even get to bios.	 laptop
;null	 negative	Just a click and a BLACK SCREEN.	 laptop
;null	 negative	Of course, it DIES 3 days past the return window.	 laptop
;null;null	 negative negative	We got two days of operation from this laptop.	 laptop laptop
;flash drive	 positive	When the MacBook Pro arrived, I helped her transfer all of her schoolwork from the PC to the Mac... an easy drag-and-drop process utilizing a flash drive.	 laptop
;ram	 positive	It was delivered with 4GB of RAM -- 2GB on each of two sticks -- which was probably adequate.	 memory
;null	 positive	So I simply pulled one 2GB stick from the machine and installed the 8GB stick in its place.	 laptop
;null;10 gigs of ram	 positive neutral	The machine now has 10 gigs of RAM and it works just fine.	 laptop memory
;apple;null	 positive positive	But, hey, it's an Apple.	 laptop laptop
;null;null	 positive positive	I wouldn't expect anything less!	 laptop laptop
;null;null	 negative negative	If it was possible to give them 0 start, I would have done it.	 laptop laptop
;keyboard	 negative	My Laptop's one of the Key from keyboard came out and it was mechanical failure.	 keyboard
;null;null	 negative negative	My laptop was under coverage but when I gave it to them for repairs, they quoted me $755 for it.	 service service
;company	 negative	this company just wants customers' money in their pocket.	 laptop
;null	 negative	they dont care how you feel when they charge you hundreds of hard earned dollars.	 laptop
;company	 negative	I wish this company to go bust.	 laptop
;null	 negative	I will never ever buy any apple product in my life.	 laptop
;null	 positive	Overall I love it.	 laptop
;null	 negative	First, when I move the screen to put it in tablet position, the hinge doesn't seem totally solid.	 laptop
;null	 neutral	I feel like I need to be really gentle with it, but maybe that's just me.	 laptop
;keyboard	 negative	Also, and this maybe is another personal quirk, but the keyboard sits a little far back for my taste so my watch scrapes against the edge of the laptop.	 keyboard
