	polarity	text	category	aspect term
347	 negative	After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.	 service	;use;packaging
348	 negative	I managed to comply with these too and now have to wait and see if they can find another way to screw me.	 service	null
349	 negative	They really do have the worlds very worst repair service.	 service	;repair service
350	 negative	This computer gets very hot, before shutting down.	 laptop	null
351	 negative negative	It is not ideal for children because of the temp.	 laptop laptop	;temp
352	 negative	I Contacted HP  about this situation and was given excuses, without results.	 service	null
353	 negative	They didn't even try to assist me or even offer a replacement.	 service	null
354	 negative	I will never purchase a HP again ever.	 laptop	null
355	 positive	Let's just get this out of the way, I love Apple!	 laptop	null
356	 positive	But the Macbook is the best!	 laptop	null
357	 positive	It is super easy to use.	 laptop	;use
358	 positive positive	All you have to do is turn it on and it works.	 laptop laptop	;works
359	 positive	It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.	 laptop	null
360	 neutral	I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.	 laptop	;mail;games
361	 positive	In the past four years I've had it I have never once gotten a virus.	 laptop	null
362	 neutral positive	I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.	 battery battery	;battery
363	 positive positive positive	I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.	 laptop laptop laptop	;use
364	 positive positive positive	Also it is very good for college students who just need a reliable, easy to use computer.	 laptop laptop laptop	;use
365	 positive	This laptop does everything I need it to very well.	 laptop	null
366	 positive positive	The best thing about this laptop is the price along with some of the newer features.	 price laptop	;price;features
367	 positive positive	The screen is bright and the keyboard is nice;	 display keyboard	;screen;keyboard
368	 positive positive	I find myself using the 10-key more than I thought I would.	 keyboard keyboard	null
369	 positive	Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.	 battery	;battery;web
370	 positive	For those that care about noise this thing doesn't really make any;	 laptop	;noise
371	 positive	the i3 processor doesn't seem to run hot and the fan rarely turns on.	 hardware	;i3 processor;fan
372	 negative negative	I took off a star because the machine has a lot of junk software on it.	 laptop software	;software
373	 negative	I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.	 laptop	;toshiba;os;setup
374	 negative neutral	Once I removed all the software the laptop loads in 15-20 seconds.	 software laptop	;software;loads
375	 negative	This is not a serious gaming laptop or a serious media machine;	 laptop	null
376	 neutral neutral	my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.	 laptop graphics	;video card
377	 positive	Overall I am very satisfied with the purchase.	 laptop	null
378	 positive neutral positive	Great, quick laptop for the money.	 laptop price laptop	null
379	 positive positive	Right size and weight for portability.	 laptop weight	;size;weight;portability
380	 negative	Battery life needs more life.	 battery	;battery life
381	 negative	Battery is not upgradable to a longer life battery.	 laptop	;battery;battery
382	 positive	I love everything about it.	 laptop	null
383	 negative	The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.	 battery	;battery
384	 negative	I would like at least a 4 hr. battery life.	 battery	;battery life
385	 positive	Otherwise, all other features are a 1	 laptop	;features
386	 positive	This mac is great!	 laptop	null
387	 positive positive positive	lightweight, long battery life, excellent transition from PC;	 laptop battery laptop	;battery life
388	 negative	THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.	 laptop	null
389	 negative	I will NEVER buy (Refurbished) again, I don't cae how cheap it is.	 laptop	null
390	 negative	Just don't waste your time and money on this.	 laptop	null
391	 negative	I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS	 laptop	null
392	 negative	Summary: Dont buy HP.	 laptop	null
393	 negative	If you buy, pray you dont have major prolems.	 laptop	null
394	 negative	Runs Hot	 laptop	;runs
395	 negative negative	I thought we were paying for quality in our decision to buy an Apple product.	 laptop laptop	;quality;apple product
396	 negative	After a little more than a year of owning my MacBook Pro, the monitor has completely died.	 display	;monitor
397	 positive	This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.	 laptop	;design
398	 positive	Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.	 laptop	null
399	 positive	Now they are believers in the product.	 laptop	null
400	 positive positive positive	It is easy to use, has great screen quality, and every so light weight.	 laptop display laptop	;use;screen quality;weight
401	 positive	This little netbook is helping me get work done!	 laptop	;work
402	 positive	I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.	 laptop	null
403	 positive positive	I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.	 laptop laptop	;features;use
404	 positive positive positive positive	I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;	 battery laptop laptop laptop	;battery life;internet
405	 positive positive	The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.	 laptop laptop	;build quality
406	 neutral	If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.	 laptop	;graphics
407	 positive positive	previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.	 os os	;mac osx;operating system
408	 neutral positive	still testing the battery life as i thought it would be better, but am very happy with the upgrade.	 battery laptop	;battery life
409	 positive positive	Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.	 laptop laptop	null
410	 positive	Has met or exceeded my needs for a compact travel device.	 weight	;travel device
411	 positive	So far, so good!	 laptop	null
412	 positive positive neutral	I've been impressed with the battery life and the performance for such a small amount of memory.	 battery laptop memory	;battery life;performance;memory
413	 negative	I don't understand why only Windows 7 Starter is included.	 os	;windows 7 starter
414	 positive	Strong performance in this device makes use of fun and a strong sense of the era of speed	 laptop	;performance;speed
415	 positive positive	This device serves all modern requirements is a very strong game and is very useful for designers.	 laptop laptop	;game
416	 positive positive	Enjoy that Toshib force and durability unparalleled	 laptop laptop	;durability
417	 negative	Needs longer lasting battery, More than 1 to 2 Hrs.	 battery	;battery
418	 neutral negative	Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.	 mouse laptop	;power;mouse cable;mouse
419	 positive	For the use it was purchased for it is a good Laptop.	 laptop	;use
420	 positive positive positive	Comfterbale to use light easy to transport.	 laptop laptop weight	;use;transport
421	 positive positive positive	"I love this product because it is Toshiba and its 15.6""."	 laptop laptop laptop	null
422	 neutral	It has no camera but, I can always buy and install one easy.	 laptop	null
423	 negative	I had a USB connect but, i can't use it because it is not compatible.	 laptop	;usb connect
424	 negative	That's the downside for me.	 laptop	null
425	 positive	But, I would recommend this product.	 laptop	null
426	 positive neutral	Satisfy what I paid for it.	 laptop price	null
427	 positive positive	Good monitor and performed well.	 display laptop	;monitor;performed
428	 positive	I am using the external speaker- sound is good.	 laptop	;external speaker;sound
429	 positive	Best thing is I can use existing 32 bit old programs.	 laptop	;programs
430	 positive	I recommend for word processing and internet users.	 laptop	;word processing;internet users
431	 positive	The games included are very good games.	 software	;games;games
432	 positive	I would highly recommend this one to my friends	 laptop	null
433	 positive positive	I bought this laptop because of the performance to price ratio.	 laptop price	;performance;price
434	 positive	It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.	 laptop	;works;internet use;microsoft office apps
435	 neutral positive	It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.	 laptop laptop	null
436	 positive	This computer I used daily nice compact design.	 laptop	;design
437	 positive	Excellent speed for processing data.	 laptop	;speed;processing
438	 positive	And if you are a game player it works with World Of Warcraft wonderfully.	 laptop	;game player
439	 positive	All in all great item highly recommend it.	 laptop	null
440	 positive	i would have to say that overall its great!	 laptop	null
441	 negative negative negative positive	Aside from the trial software and the short battery life, lack of a webcam, its great.	 software battery laptop laptop	;trial software;battery life;webcam
442	 positive positive	Fast, great visual!	 laptop display	;visual
443	 negative	Oh yea, has no numeric pad on the side.	 keyboard	;numeric pad
444	 positive neutral	2nd Best computer in the world  only one way this computer might become the best is that it needs to upgrade patches  to make less easier for people to hack into	 laptop laptop	null
445	 positive positive	My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.	 laptop laptop	;vga port;screen
446	 positive	Great wifi too.	 laptop	;wifi
447	 negative neutral	The screen is a little glary, and I hated the clicking buttons, but I got used to them.	 display mouse	;screen;clicking buttons
448	 positive neutral	Overall for the money this is a good deal.	 laptop price	null
449	 negative	There is no number pad to the right of the keyboard which is a bummer.	 keyboard	;pad;keyboard
450	 negative negative	The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.	 laptop laptop	;speakers
451	 neutral negative	while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.	 keyboard laptop	;keyboard;plate;sound;mouse command buttons
452	 positive positive	I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.	 laptop os	;features;windows 7 home premium
453	 positive positive	The battery life has not decreased since I bought it, so i'm thrilled with that.	 battery battery	;battery life
454	 positive positive	I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.	 laptop laptop	;design;looks;feel;toshiba feature
455	 positive	I would easly reccomend this laptop to a friend.	 laptop	null
456	 negative	Couldnt not use it.	 laptop	null
457	 negative	Tried to make a recovery disk wouldnt get passed the first recovery disk.	 laptop	;recovery disk;recovery disk
458	 negative	defective software.	 software	;software
459	 negative	returned it to walmart.	 laptop	null
460	 negative	I would like to have volume buttons rather than the adjustment that is on the front.	 laptop	;volume buttons
461	 negative negative	I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.	 mouse mouse	;touchpad;mouse pointer;screen
462	 positive	I went to Toshiba online help and found some suggestions to fix it.	 service	;toshiba online help
463	 positive	One of them seems to have worked.	 service	null
464	 positive neutral	Its a good laptop for its value.	 laptop price	;value
465	 positive	Registration/1st use is easy.	 laptop	;1st use
466	 negative negative	Features like the font are very block-like and old school.	 laptop laptop	;features;font
467	 negative	Would like more trendy, high tech features.	 laptop	;features
468	 negative	The start menu is not the easiest thing to navigate due to the stacking.	 os	;start menu;navigate
469	 negative	Keys stick periodically and I havent had the laptop for 45 days yet.	 keyboard	;keys
470	 positive	Came fully loaded - good.	 laptop	null
471	 positive	Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.	 laptop	;applications;internet tabs;programs
472	 positive positive neutral	I'm really impressed with the quality and performance for the price of the computer.	 laptop laptop price	;quality;performance;price
473	 positive positive	Graphics are clean and sharp, internet interfaces are seamless.	 graphics laptop	;graphics;internet interfaces
474	 negative neutral	Only issue is that it is a little slow, and I'm fixing that by adding more RAM.	 laptop memory	;ram
475	 negative	Sound card is limited though.	 laptop	;sound card
476	 positive positive	The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.	 laptop weight	;weight
477	 positive	It is small enough to fit in one of my purses!	 laptop	null
478	 positive neutral	Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.	 os os	;windows 7 starter
479	 positive positive	The battery life is amazing, the versitility is outstanding.	 battery laptop	;battery life;versitility
480	 positive	The ease of set up was terrific.	 laptop	;set up
481	 positive	I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever.	 laptop	;symantec licenses
482	 negative	I had to adjust my mousepad sensitivity, because it is very sensitive.	 mouse	;mousepad sensitivity
483	 positive	Keyboard is great, very quiet for all the typing that I do.	 keyboard	;keyboard
484	 positive	Screen is crystal clear, yes it's small - but it's a netbook!	 display	;screen
485	 positive positive	Awesome laptop and the perfect size to carry around in college.	 laptop weight	;size
486	 positive	I couldn't believe how long the battery lasted on a single charge.	 battery	;battery
487	 positive	I loaded windows 7 via Bootcamp and it works flawlessly!	 os	;windows 7;bootcamp;works
488	 positive	Simply amazing computer!!	 laptop	null
489	 positive negative	I really like the Mac 15.4in. Notebook, but its very pricey.	 laptop price	;mac 15 4in
490	 positive positive positive	Love the graphics, awesome programs (including Garageband), and really cool default background.	 graphics laptop software	;graphics;programs;garageband;default background
491	 negative	But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.	 price	null
492	 positive neutral	Waiting for the i7 was well worth it, great value for the price.	 laptop price	;i7;value;price
493	 positive positive	Bigger HD, better graphics card, and a bid HD.	 harddisk graphics	;hd;graphics card
494	 positive	There is nothing to complain about the system.	 laptop	;system
495	 positive	I have used PC's and converting to this MacBook Pro was easy.	 laptop	null
496	 positive	If you have the money I suggest going for the i7.	 laptop	;i7
497	 positive	I occassionaly use it for work via VPN and it has not given me any problems.	 laptop	;work;vpn
498	 positive positive positive	The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	 display keyboard laptop	;screen;keyboard
499	 positive	I consider myself an average user and this computer serves my need.	 laptop	;user
500	 positive	The price is another driving influence that made me purchase this laptop.	 price	;price
501	 positive positive	I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	 laptop price	;features
502	 positive	I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...	 laptop	null
503	 positive	another satisfied customer.	 laptop	;customer
504	 positive	The apple MacBook is the best investment that I have ever made.	 laptop	null
505	 positive	The newer MacBook that I have purchased is one of the best computers.	 laptop	null
506	 positive	I am a college student and it has been very useful.	 laptop	null
507	 positive	It has all the features that are necessary for college and if not they are able to be added onto the computer.	 laptop	;features
508	 positive positive	It has a lot of memory and a great battery life.	 memory battery	;memory;battery life
509	 positive positive	It is sleek and lightweight and charges quickly when needed.	 laptop battery	;charges
510	 positive positive	Its white color is stylish for college students and easy to take to carry and take to classes.	 laptop weight	;color
511	 positive	Iphoto is great for adding pictures right to facebook and other social networking sites.	 software	;iphoto
512	 positive	The internet capabilities are also very strong and picks up signals very easily.	 laptop	;internet capabilities;signals
513	 positive	I have never had to shut down the computer unexpectedly and the computer has never froze on me.	 laptop	null
514	 positive positive	The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.	 display keyboard	;screen;keyboard;use
515	 positive	Overall, this is a wonderful computer and definitly worth the purchase!	 laptop	null
516	 positive	The graphics are stunning.	 graphics	;graphics
517	 positive	It's wonderful for computer gaming.	 laptop	;gaming
518	 positive	I would definitely suggest this laptop!	 laptop	null
519	 positive	It is very user friendly and not hard to figure out at all.	 laptop	null
520	 positive positive positive positive	It has many great programs, such as ILife, iPhotos and others.	 laptop software software software	;programs;ilife;iphotos
521	 positive	iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.	 software	;ilife;microsoft office
522	 positive positive	In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.	 software software	;design tools;pages
523	 positive	This comes in very handy for me as an educator.	 software	null
524	 positive	iPhotos is an excellent program for storing and organizing photos.	 software	;iphotos;program
525	 positive	It allows you to automatically upload photos to your Facebook account with one click.	 software	null
526	 positive	In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.	 software	;photo detection software;picture
527	 positive	If you are looking for something reliable, this is the laptop for you.	 laptop	null
528	 negative	This computer was awful!	 laptop	null
529	 negative negative negative	I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	 laptop laptop service	null
530	 negative negative	The computer first started malfunctioning 3 months after purchasing it.	 laptop laptop	null
531	 negative	It does not keep internet signals no matter where you bring it.	 laptop	;internet signals
532	 negative	The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	 os	;system
533	 negative	When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.	 service	null
534	 negative	One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.	 laptop	null
535	 negative	This computer was awful, I would never recomend it to another person.	 laptop	null
536	 negative	Those moments in thime where you want to throw something against the wall?	 laptop	null
537	 negative	Yeah, I wanted to throw that lap top out the window and light it on fire.	 laptop	;window
538	 negative	That's how frustrating it was.	 laptop	null
539	 positive	It is so simple to use, I use it more than my desktop.	 laptop	;use
540	 positive positive	It is well worth the money it cost, Very good investment.	 laptop price	;cost
541	 positive	The new Macbook Pro 15 inch i7 is nothing short of amazing.	 laptop	;15 inch i7
542	 positive	The speed is incredible and I am more than satisfied.	 laptop	;speed
543	 negative	THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.	 laptop	null
544	 negative	NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.	 laptop	null
545	 negative	WILL NOT EVERY BUY ANOTHER--------LOU	 laptop	null
546	 positive neutral	This is a great value for the money.	 laptop price	;value
547	 positive	This is a great computer.	 laptop	null
548	 positive	We haven't had any problems with it at all.	 laptop	null
549	 negative	The body is a bit cheaply made so it will be interesting to see how long it holds up.	 laptop	;body
550	 positive positive	Overall though, for the money spent it's a great deal.	 laptop price	null
551	 positive	But let me tell you, the mac book pro is so professional.	 laptop	null
552	 positive	Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.	 laptop	;features
553	 positive	For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.	 display	;screen brightness
554	 positive	It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	 keyboard	;keyboard
555	 positive	Oh, it is such a great piece of equipment.	 laptop	null
556	 neutral	Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	 software	;office;features;functioning;programs
557	 positive positive	I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	 laptop weight	;size;size;width
558	 positive	Very long-life battery (up to 10-11 hours depending on how you configure power level settings).	 battery	;battery;power level settings
559	 neutral positive	I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.	 laptop laptop	;memory;base;windows 7 starter;win 7 home;runs
560	 positive	I play a lot of casual games online, and the touchpad is very responsive.	 mouse	;touchpad
561	 positive positive positive	I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	 weight laptop laptop	;ms office email chat;video
562	 negative	The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.	 display	;screen size;battery life
563	 neutral	Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.	 software	;base installation;software
564	 positive positive positive	Everything from the design to the OS is simple and to the point.	 laptop os laptop	;design;os
565	 positive	LOVE IT LOVE IT LOVE IT!	 laptop	;it
566	 positive	It really is perfect for work and play.	 laptop	;play
567	 positive	I am able to play 720p and 1080p media files just fine with it.	 laptop	;720p;1080p media files
568	 positive positive	Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.	 laptop battery	;worked;wall charger;battery
569	 negative	The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.	 laptop	;speakers
570	 positive neutral	I upgraded it's RAM to 2GB, I am very happy with it.	 laptop memory	;ram
571	 positive	lots of preloaded software.	 laptop	;preloaded software
572	 negative negative	the only problem is that i had to add 1 gb RAM, the computer was kinda slow.	 memory laptop	;1 gb ram
573	 positive	tosiba has a good reputation, my llast computer was an acer.	 laptop	null
574	 positive	this is starting off good.	 laptop	null
575	 positive	What a great little laptop.	 laptop	null
576	 positive	Maybe not the cutting edge (Satellite L455D) but it is a workhorse.	 laptop	;cutting edge satellite l455d
577	 positive	I bought it to use in college and it is perfect.	 laptop	null
578	 positive	I dual boot with Linux and that other security-prone OS and it performs flawlessly.	 laptop	;linux;security;os;performs
579	 positive positive	I made a perfect decision when I bought the Toshiba!	 laptop laptop	;toshiba
580	 positive neutral	Excellent product for the money.	 laptop price	null
581	 positive positive	No problems, no lock ups, no disappointments.	 laptop laptop	null
582	 neutral neutral	Not super fancy, but not super expensive either.	 laptop price	null
583	 positive	Highly recommend for daily use.	 laptop	null
584	 positive negative	The Computer itself is a good product but the repair depot stinks.	 laptop service	;repair depot
585	 negative	I have had to send in my laptop three times to get it fixed.	 service	null
586	 negative	Toshiba does not send any one out unless you have paid extra to have the on site repair done.	 service	null
587	 negative	I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.	 service	null
588	 negative	This computer that I have has had issues with the keyboard where it lost half the keyboard functions.	 keyboard	;keyboard;keyboard functions
589	 negative	As well as having the plug in the computer come loose.	 hardware	null
590	 negative	So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.	 hardware	;ac plug
591	 negative	It still seems to be a little lose now but so far seems to be hanging in there.	 hardware	null
592	 positive	The Mac Book Pro performs flawlessly.	 laptop	null
593	 positive	Never had a single problem, and don't have to worry about viruses.	 laptop	null
594	 positive	While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.	 laptop	;gaming;applications
595	 positive	Worth the investment and truly a fine piece of equipment.	 laptop	null
596	 positive positive	Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).	 laptop laptop	null
597	 positive positive positive	It even has a great webcam, and Skype works very well.	 laptop laptop software	;webcam;skype
598	 positive positive	The fact that you can spend over $100 on just a webcam underscores the value of this machine.	 laptop laptop	;webcam;value
599	 neutral	The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.	 os	;windows 7 starter
600	 negative positive positive	I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	 os price laptop	;openoffice;firefox;price
601	 positive	This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.	 laptop	;tasks
602	 positive positive	I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).	 weight battery	;portability;battery life
603	 positive positive	ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	 laptop laptop	null
604	 neutral	little short on RAM but you get what you pay for.	 memory	;ram
605	 negative negative	the hinge design forced you to place various connections all around the computer, left right and front.	 laptop laptop	;hinge design
606	 negative negative negative negative	the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.	 hardware mouse laptop laptop	;headphone;mic jack;touch pad;touch pad;headphones;mic
607	 negative negative	Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.	 laptop laptop	;cords;power;cords;mic;network connection;cords
608	 positive negative negative	I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	 os laptop laptop	;windows 7;ergonomics;connections
609	 positive negative	I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.	 laptop service	;toshiba warranty
610	 positive negative	The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.	 laptop service	;repair depot
611	 negative	They were totally unconcerned that the computer was not correctly repaired in the first place.	 service	null
612	 negative	The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.	 laptop	;shipping
613	 negative	The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.	 laptop	;usps;cost
614	 negative	Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.	 laptop	null
615	 negative	And Toshiba is totally unconcerned.	 service	null
616	 negative	The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.	 service	null
617	 negative	We don't Mind and You don't Matter.	 service	null
618	 negative negative	I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.	 laptop laptop	;toshiba product
619	 negative	When it come time for warranty service to Toshiba you don't matter.	 service	;warranty service
620	 negative negative	Windows Vista makes this computer almost unusable for online service.	 os laptop	;windows vista;online service
621	 negative	I've tried going back to XL but there still problems.	 laptop	null
622	 negative	The technical service for dell is so 3rd world it might as well not even bother.	 service	;technical service
623	 negative	Just a bunch of idiots who's English as a 5th language is forced at best.	 service	;5th language
624	 negative	I'm all for saving money but Dell needs to step it up.	 laptop	null
625	 positive	Good price.	 price	;price
626	 neutral	Basic computer.	 laptop	null
627	 neutral	Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).	 laptop	null
628	 positive	It has worked fine.	 laptop	;worked
629	 positive	Handles all my basic media needs easily.	 laptop	null
630	 positive positive	Can listen to my music and watch my videos with ease and with a great display.	 display laptop	;display
631	 positive positive	It is speedy when connected wirelessly to any network regardless if the connection is weak or not.	 laptop laptop	;connection
632	 positive	It's a great prodcut to handle basic computing needs.	 laptop	;prodcut;computing
633	 positive	It has served my needs quite nicely for the most part.	 laptop	null
634	 positive positive	The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.	 memory laptop	;2 gb of ram;windows 7
635	 negative	My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.	 hardware	;headphone jack
636	 negative neutral	This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.	 hardware price	;grounding;components;ground loop isolator;product quality;price range
637	 positive neutral	Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.	 price laptop	;gaming capabilities
638	 positive	Let me start with the good:So awesome.	 laptop	null
639	 positive positive positive	Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.	 os hardware laptop	;os;processor speed;thunderbolt port
640	 positive	This one has had the same effect.	 laptop	null
641	 positive	The improvements to the OS have been relatively gradual, but substantive.	 os	;os
642	 positive positive	The Unibody construction is solid, sleek and beautiful.	 laptop laptop	;unibody construction
643	 positive positive	It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.	 laptop laptop	null
644	 negative	For the not so good, I got the stock screen - which is VERY glossy.	 display	;screen
645	 positive positive	It's still beautiful and has better color reproduction than I could ever expect from a notebook.	 display display	;color reproduction
646	 neutral	The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.	 display	;display;lighting;brightness
647	 negative	The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.	 battery	;battery life
648	 negative	I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.	 battery	null
649	 negative	The first full charge of this battery got me only about 2 full hours.	 battery	;battery
650	 negative	Enabling the battery timer is useless.	 battery	;battery timer
651	 negative	"The ""Time remaining"" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes."	 battery	;time
652	 negative	It's so bad that I'm thinking I only got half a battery or something.	 battery	;battery
653	 negative	I know what 7 hrs of battery looks like.	 battery	;battery
654	 negative	My only other complaint is that it gets really hot.:-)	 laptop	null
655	 negative positive	If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.	 battery laptop	;battery life
656	 positive neutral negative negative	The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	 laptop hardware laptop laptop	;intel i processors;edge;edges
657	 positive	Other than that its a great performing machine and well meets all my needs and more.	 laptop	null
658	 positive positive	Great product by Apple with the new great looking design.	 laptop laptop	;design
659	 negative negative negative negative negative	"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap."	 harddisk hardware hardware service laptop	;hard drive;mother board;dvd drive
660	 negative negative	It was slow, locked up, and also had hardware replaced after only 2 months!	 laptop hardware	;hardware
661	 negative	So, buyers beware!	 laptop	null
662	 positive	It is made better, thicker, and all out tough!	 laptop	null
663	 positive	I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!	 laptop	null
