	polarity	text	category	aspect term
330	 positive	The thunderbolt port is awesome!	 hardware	;thunderbolt port
331	 neutral positive	US 3.0 comes with the MBP and has transfer rates of up to 5gbps.	 laptop hardware	;transfer
332	 neutral neutral neutral neutral neutral	Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.	 laptop laptop laptop laptop laptop	;ports;firewire 800 gigabit;microphone jack
333	 neutral neutral	SDHC card reader and an optical drive for burning and reading discs.	 laptop laptop	;sdhc card reader;optical drive
334	 positive positive	The glass track pad is large enough for Apple's highly acclaimed multi-touch gestures for scrolling through web pages with two fingers, zooming in on certain parts of certain apps by double tapping with two fingers, accessing launchpad by pinching with five fingers and using mission control by swiping up with four fingers.	 mouse mouse	;glass track pad;scrolling;web;apps
335	 positive	For Windows users switching to a Mac, you can also enable right clicking (known to apple as secondary click) in the system preferences&gt; Mouse and enabling right clicking.	 mouse	;windows;system;mouse
336	 positive	The unique to apple aluminium uni-body is a real beauty.	 laptop	;apple aluminium uni body
337	 positive	It makes the MBP very durable and protects it from scratches, though you shouldn't go launching it against a wall for the sake of trying it.	 laptop	null
338	 positive	The Mac app store and iTunes store are phenomenal.	 software	;mac app store;itunes
339	 positive	The Mac app store is your one-stop shop for Mac software, though you can also download software online at your own risk.	 software	;mac app store;mac software;software
340	 positive	There are currently around 10,000 apps on the App store (and counting...), and billions of songs available for download fro the iTunes store.	 software	;app;itunes store
341	 positive positive	iTunes is one of the better media players available on the market with it's simple to use User Interface.	 software software	;itunes;use;user interface
342	 positive	I'm sure you won't regret making this purchase.	 laptop	null
343	 negative	One of the worst pieces of electronics I have ever bought.	 laptop	null
344	 negative	Very pour performance.	 laptop	;performance
345	 negative	It takes for ever to wake it up.	 laptop	null
346	 negative negative	Sometimes It stops receiving wifi signal, so I have to restart it.	 laptop laptop	;wifi signal
347	 negative	It is very slow and not responsive.	 laptop	null
348	 negative	Would not recommend.	 laptop	null
349	 negative	Glare is also pretty frustrating.	 display	;glare
350	 negative	There is definitely more to say...	 laptop	null
351	 positive	I tested it, it worked great.	 laptop	null
352	 negative negative	He received it, and one day later it DIES.	 laptop laptop	null
353	 negative	The laptop refuses to start, we have troubleshooted all areas, still fails to start.	 laptop	null
354	 negative	Cannot even get to bios.	 laptop	null
355	 negative	Just a click and a BLACK SCREEN.	 laptop	;click
356	 negative	Of course, it DIES 3 days past the return window.	 laptop	null
357	 negative negative	We got two days of operation from this laptop.	 laptop laptop	;operation
358	 positive	When the MacBook Pro arrived, I helped her transfer all of her schoolwork from the PC to the Mac... an easy drag-and-drop process utilizing a flash drive.	 laptop	;drag;flash drive
359	 positive	It was delivered with 4GB of RAM -- 2GB on each of two sticks -- which was probably adequate.	 memory	;ram 2gb
360	 positive	So I simply pulled one 2GB stick from the machine and installed the 8GB stick in its place.	 laptop	;8gb stick
361	 positive neutral	The machine now has 10 gigs of RAM and it works just fine.	 laptop memory	;ram;works
362	 positive positive	But, hey, it's an Apple.	 laptop laptop	null
363	 positive positive	I wouldn't expect anything less!	 laptop laptop	null
364	 negative negative	If it was possible to give them 0 start, I would have done it.	 laptop laptop	null
365	 negative	My Laptop's one of the Key from keyboard came out and it was mechanical failure.	 keyboard	;key from keyboard
366	 negative negative	My laptop was under coverage but when I gave it to them for repairs, they quoted me $755 for it.	 service service	;coverage
367	 negative	this company just wants customers' money in their pocket.	 laptop	null
368	 negative	they dont care how you feel when they charge you hundreds of hard earned dollars.	 laptop	null
369	 negative	I wish this company to go bust.	 laptop	null
370	 negative	I will never ever buy any apple product in my life.	 laptop	null
371	 positive	Overall I love it.	 laptop	null
372	 negative	First, when I move the screen to put it in tablet position, the hinge doesn't seem totally solid.	 laptop	;screen;hinge
373	 neutral	I feel like I need to be really gentle with it, but maybe that's just me.	 laptop	null
374	 negative	Also, and this maybe is another personal quirk, but the keyboard sits a little far back for my taste so my watch scrapes against the edge of the laptop.	 keyboard	;keyboard
