	aspect term	text
349	;boot mgr	I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.
350	;recovery cd	Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.
351	;price;features	The price and features more than met my needs.
352	;skype	Skype is just so dang cool with this machine too.
353	;mouse buttons	the mouse buttons are hard to push.
354	;hdd;rails;hard drive	Also, HDD secures inside using rails, and there is only one set on the main hard drive.
355	;quality	All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.
356	;staff	(Beware, their staff could send you back making you feel that only they know what a computer is.
357	;games	Games being the main issue.
358	;garageband	My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.
359	;warranty;hard drive	They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).
360	;price	and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.
361	;home use;business use	A great computer for light home use and business use.
362	;virus protection;updates	Even with virus protection, it always turned off when updates were needed and installed.
363	;ms office apps	Also consider the MS Office apps are all trial versions, hope you have your own copies.
364	;feature;windows;games	Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.
365	;battery life	The battery life is amazingly long at 7hrs and 5hrs if you use it.
366	;battery life	lightweight, long battery life, excellent transition from PC;
367	;price	The price is another driving influence that made me purchase this laptop.
368	;nortons virus scan	The Nortons virus scan is only for a very short time unlike others that usually are good for a year.
369	;frame	It is stamped and not in pieces therefore it is a stronger more resilient frame.
370	;features;use	I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.
371	;loaded	Came fully loaded - good.
372	;windows 7;vista;vista;windows	I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.
373	;windows xp;vista	When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.
374	;key broad	The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.
375	";warranty;repair ""depot"""	"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
376	;school use	  But I needed a laptop for school use.
377	;design	This is the complete opposite to an ergonomic design.
378	;battery life	I would like at least a 4 hr. battery life.
379	;programs	The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.
380	;wireless	Wireless has not been a issue for me, like some others have meantioned.
381	;battery life;programs	MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.
382	;trackpad;programs;navigating	All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.
383	;speakers;subwoofer	I guess the only good thing that came out of these were the speakers and the subwoofer.
384	;built in camera	Theres a built in camera with special effects- for video and photography.
385	;price	All for such a great price.
386	;warranty	  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.
387	;left mouse key;costed	Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
388	;speed;hard drive space	It has good speed and plenty of hard drive space.
389	;picture	Clear picture on it and everything.
390	;extended warranty;extended warranties	They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.
391	;battery	Very long-life battery (up to 10-11 hours depending on how you configure power level settings).
392	;screen;battery life	Screen is awesome, battery life is good.
393	;appearance	The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
394	;technical service for dell	The technical service for dell is so 3rd world it might as well not even bother.
395	;graphics;warranty	The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
396	;battery	They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.
397	;case	If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.
398	;performance;price;look;applications	you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.
399	;speed	Excellent speed for processing data.
400	;tech support	When you call tech support you were routed to someone who was in another country and did not know what they were doing.
401	;gaming;use	It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.
402	;photoshop	I was taught to use Photoshop and was amazed.
403	;ram	4gb of ram...
404	;system clock	Somehow the system clock got messed up after reboot.
405	;ram	the only problem is that i had to add 1 gb RAM, the computer was kinda slow.
406	;securitysoftware	With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.
407	;driver updates	The driver updates don't fix the issue, very frustrating.
408	;windows	I will never go back to Windows!
409	;work	It doesnt work worth a damn.
410	;works	It works really well.
411	;hd;hd;graphics card	Bigger HD, better graphics card, and a bid HD.
412	;built in camera	The built in camera is very useful when chatting with other techs in remote buildings on our campus.
413	;dvd burner	Mine came at $1,700 w/o a DVD burner (!).
414	;dvd burner	The DVD burner broke after burning 3 DVD'd during that time!
415	;works	It works fine with our wireless and they've had not problems.
416	;15 inch	But you must get the 15 inch.
417	;product support	Product support very poor as each phone call costs me long distan
418	;screen;use	Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.
419	;casing of the power cord	  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.
420	;internet signals	It does not keep internet signals no matter where you bring it.
421	;price	It's a great product for a great price!
422	;right speaker	Again, the same problem, the right speaker did not work.
423	;price tag;software;updates	But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
424	;multiple page viewer	and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.
425	;shipped	This was the 3rd day and part still had not been shipped.
426	;keyboard;use	Keyboard good sized and wasy to use.
427	;warranty	HP said it was out of warranty.
428	;quality	I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.
429	;features	wonderful features.
430	;recovery disk	I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.
431	;features	Im glad that it has such great features in it.
432	;programs;office;office programs	I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
433	;wifi	Great wifi too.
434	;typing	WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.
435	;screen	  Only a few days after I received the computer back, the screen froze again.
436	;temp	It is not ideal for children because of the temp.
437	;windows operating system	Although i do believe that Windows operating system may be to fault for some of the problems.
438	;os;processor speed;thunderbolt port	Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.
439	;lcd screen	  The lcd screen stopped working on mine after 10 months.
440	;images	Images are crisp and clean.
441	;windows vista;windows xp	although its windows vista compared to windows xp sucks.
442	;vista;adobe flash player;internet explore;windows update;update	  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.
443	;switch;switch	with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
444	;4gb stick of ram	One more tip, please purchase this model and get a 4GB stick of RAM to save you $10
445	;hardrive;touch control buttons;keyboard	It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
446	;performance	I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.
447	;ilife software;iphoto;imovie;iweb;itunes;garageband;runs	The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.
448	;system board	At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.
449	;size;software;hardware	  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.
450	;memory;hard drive;graphics	It has plenty of memory, lots of hard drive, and great graphics.
451	;programs;navigation	It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
452	;hinge;lcd	However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).
453	;dell customer service	My problem was with DELL Customer Service.
454	;rma service	Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.
455	;design	Design: very durable.
456	;keyboard	It is easy to go from one keyboard to another.
457	;battery life	Has a 5-6 hour battery life.
458	;screen/video resolution;resolution	My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
459	;applications;dreamweaver;final cut pro 7;photoshop;safari;firefox;msn messenger	I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.
460	;warrenty	  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.
461	;tech support	Ive had to call tech support many times.
462	;apple applications;iphoto	The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!
463	;gigs	Not to mention it has shit gigs.
464	;memory;17-inch screen;dvd;cd burners	I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.
465	;web browsing;uploading photos;watching movies;creating presentations	Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.
466	;quality display	Quality Display  I love HP,, it's the only computer/printer we will buy.
467	;weight;12 cell battery	Despite the inconvenient weight, I opted for the 12 cell battery.
468	;case	The case is carved out of a single block of aluminum.
469	;power adapter plug	     First it burned or fused the power adapter plug.
470	;features;speakers	the features are great, the only thing it needs is better speakers.
471	;screen	It was still working, but there was nothing on the screen.
472	;tab	I bought this laptop and found its TAB is not functioning.
473	;extended warrenty	  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.
474	;tft panel	-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).
475	;navigation;windows operating systems	Navigation through the computer is far superior compared to Windows operating systems, as well.
476	;screen;screen size;bulk	The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.
477	;music software;software;picture;video	Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.
478	;combined touch pad and clicker	The much lauded combined touch pad and clicker is a nightmare.
479	;unibody construction	The Unibody construction is solid, sleek and beautiful.
480	;value	This MacBook is an outstanding product with great value.
481	;windows;screen hinges	I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.
482	;battery;storage life;service	A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.
483	;storage;ram	and plenty of storage with 250 gb(though I will upgrade this and the ram..)
484	;nvidia chipset	"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair."
485	;extended warranty	I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.
486	;programs	Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.
487	;charge time	I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS
488	;size;consistancy	Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.
489	;key bindings	the key bindings take a little getting used to, but have loved the Macbook Pro.
490	;keyboard;size	Keyboard is reasonable size.
491	;10-key	I find myself using the 10-key more than I thought I would.
492	;fan;fan	Fan noise: The fan made a constant hissing noise in the background.
493	;screen;operating system	The screen is bright and clear, the operating system is solid and friendly to a novice.
494	;processor;500gb hard drive	It has a .1 ghz faster processor and a stock 500gb hard drive.
495	;feature	The feature are good enough for what I need.
496	;tech support	Finally, the biggest problem has been tech support.
497	;usb output	""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output."
498	;wireless mouse	With Windows laptops a wireless mouse is an absolute must.
499	;size;screen;windows;linux	(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.
500	;windows disc	But if you're willing to pay another 200 dollar for a windows disc.
501	;quality	Very good quality and well made.
502	;touchpad	I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.
503	;video card	my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.
504	;touch pad	It had the full sized touch pad with 2 buttons instead of just one.
505	;external mouse	Typically, when I purchase a new laptop I always end up using an external mouse for convenience.
506	;set up	It was super easy to set up and Is really easy to get used to.
507	;video	The only thing that can be updated is the video, other than that you're all set.
508	;value	Its a good laptop for its value.
509	;hard drive	Then the hard drive failed;
510	;runs;loads	Plain and simple, it(laptop) runs great and loads fast.
511	;warranty	of course my warranty runs out next month.
512	;program	The capabilities using that program alone made me want a Mac.
513	;disk throughput;spinning beachball	"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero."
514	;wireless internet access	I have found also, it is very easy to be able to access wireless internet access;
515	;value	This is a great value for the money.
516	;ran	It was a great laptop, ran great and was really fast.
517	;battery	The battery has never worked well.
518	;company	I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.
519	;screen resolutions	The only problem is a lack of screen resolutions!
520	;carry	Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.
521	;keyboard;edges	Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.
522	;programs;ilife;iphotos	It has many great programs, such as ILife, iPhotos and others.
523	;processor;fan;motherboard	The processor went on me, the fan went and the motherboard went.
524	;built	It is very well built.
525	;performance	I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.
526	;screen resolution	The screen resolution was exactly what I was looking for.
527	;snow leopard;cpu;office mac applications;word;excel;spinning wheel	Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.
528	;pad;keyboard	There is no number pad to the right of the keyboard which is a bummer.
529	;screen	After 20-30 min the screen of the notebook switched off.
530	;windows 7	If upgrade is possible to the full Windows 7, then I will truly be a very happy geek.
531	;programs;ilife;iwork	I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.
532	";18.4"" screen"	"It is a big big, but since it has a 18.4"" screen what would you expect!"
533	;battery life	10 hours of battery life is really something else....
534	;regular layout keyboard;runs	Runs fast and the regular layout keyboard is so much better.
535	;programs	All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.
536	;windows;recovery discs	I reinstalled windows through the recovery discs and everything seemed good again.
537	;windows 7 starter	Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.
538	;support	Support has been lackluster and now I just want a refund.
539	;warranty;online chat service	First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.
540	;iphoto	""">  iPhoto is probably the best program I have ever worked with: easy and convenient."
541	;works	I love to write and play with graphics and html programming and my new Toshiba works great on both!
542	;battery	My laptop now has no battery.
543	;quality;vhs	Beta had better quality, but VHS became the industry standard.
544	;use;navigate	It made the computer much easier to use and navigate.
545	;battery life	:-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.
546	;battery	Needs longer lasting battery, More than 1 to 2 Hrs.
547	;usb ports	in May I started having problems with the USB ports not working.
548	;battery	10 plus hours of battery...
549	;design;quality	The design is awesome, quality is unprecedented.
550	;mac version of microsoft office	The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.
551	;starting-up time	The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.
552	;operates	The Toshiba Net book operates very well.
553	;touch pad;touch pad	the touch pad is fine - again, it's a real touch pad.
554	;pictures	The pictures are clear as can be.
555	;transporting	It is also very lightweight, making transporting this computer very easy.
556	;gaming	It's wonderful for computer gaming.
557	;network capability;wifi card	You have to toss out the wifi card and replace it just to have any sort of network capability.
558	;printer	AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!
559	;use	it is very easy for anyone to use an apple and specially the mcbook pro notebook.
560	;os x	The flaws are, this computer is not for computer gamers because of the OS X.
561	;repair service	They really do have the worlds very worst repair service.
562	;customer service agents	They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.
563	;photoshop;aftereffects programs	  I was also able to install and use my Photoshop and AfterEffects programs easily.
564	;runs	It's perfect for everything and runs faster than an average pc!
565	;warrenty	 Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.
566	;look;dependability	I'm already hooked on the sleek look and dependability that this laptop has shown.
567	;company	And having to deal with the company has been a even worse nightmare.
568	;warranty	  I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!
569	;features	It has all the features that are necessary for college and if not they are able to be added onto the computer.
570	;mouse button	I've owned this labtop for less then two months, already the mouse button has broke.
571	;performance	It did fairly well, other than it's poor performance, overheating and occational blue screen.
572	;touchpad;buttons	The touchpad is very intuitive, so much so that I never want to use buttons to click again!
573	;programs	tons of bloatware and junk programs.
574	;space;keyboard	lots of extra space but the keyboard is ridiculously small.
575	;battery	It's so bad that I'm thinking I only got half a battery or something.
576	;keyboard;battery life;hard drive;windows 7	Good keyboard, long battery life, largest hard drive and windows 7.
577	;processor;applications;load;webpages	The processor is very quick and effective as I load webpages and applications.
578	;battery	My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!
579	;boot	It pretty much does everything we could ever need, and looks great to boot.
580	;windows	As a lifelong Windows user, I was extremely pleased to make the change to Mac.
581	;runs	The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.
582	;openoffice;firefox;price	I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.
583	;quality;performance;battery life	Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.
584	;use	I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.
585	;product key	MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.
586	;specs	Pay attention to the specs if you want these options.
587	;bluetooth	It also does not have bluetooth.
588	;feature;one touch keys	Sure it has the one touch keys but that was the best feature of the computer.
589	;battery life	great battery life.
590	;keyboard;speed	The real stand out on this computer is the feel of the keyboard and it's speed.
591	;specs;price	At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.
592	;delivery	Delivery was early too.
593	;stability;mac software;operating system	Love the stability of the Mac software and operating system.
594	;sata controller	And that probably explains why I've already had my SATA controller go bad within a year of buying it.
595	;video editing;performance;mobile video editing	It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).
596	;imovie program	My main reason to convert was the imovie program.
597	;processor;ram	It has a faster processor and more ram.
598	;battery	Laptops are usually used on the go, so why not give you a better battery?
599	;price	I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.
600	;designed	I wasn't a big fan of the Netbooks but this one was very well designed.
601	;warranty	And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.
602	;bluetooth mouse	I still have that stupid bluetooth mouse to!
603	;features	Would like more trendy, high tech features.
604	;keyboard;control buttons	Keyboard is great but primary and secondary control buttons could be more durable.
605	;screen	Screen is a bit glossy, but that's not too bad.
606	;motherboard;motherboard	I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.
607	;processor;performance	Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).
608	;motherboard	They say it could be the motherboard again, but Dell
609	;patches	2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into
610	;speed	Love the speed, especially!
611	;system memory;radeon 5850;ddr5;ddr3	It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.
612	;programs;programs	Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.
613	;speed	The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.
614	;size	Awesome laptop and the perfect size to carry around in college.
615	;os (vista)	 A MONTH LATER, we reinstall the OS (Vista).
616	;software	Some problems can be fixed if you purchase new software, but there is no guarentee.
617	;battery life	My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.
618	;battery life	The battery life is also relatively good.
619	;extended warranty	  I definitely suggest getting an extended warranty, you will probably need it!
620	;features;programs;use	I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.
621	;pop up windows;web programming software;pop ups	I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.
622	;memory	Memory is upgradable.
623	;3g network;web access	Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.
624	;screen;design based programs;adobe creative suite	The large screen also helps when you are working in design based programs like Adobe Creative Suite.
625	;companies	Moral of the story:-Do not buy anything from companies that do not respect their customers.
626	;customer service	This is my first Dell I heard their customer service was lacking and that they were working on improving it!
627	;plug	As well as having the plug in the computer come loose.
628	;hdd cover	Second HDD cover has walls inside that need to be broken if you what to install one.
629	;applications	If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.
630	;design	Great product by Apple with the new great looking design.
631	;keyboard	I love the keyboard.
632	;iphoto;program	I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.
633	;screen	The screen isn't huge, but that doesn't matter when I output media to the 50 inch LCD TV.
634	;spy ware;nortell	I will have to purchase Spy ware or Nortell for privacy protection.
635	;videocard	I was said it's videocard.
636	;price	For the price and what I get out of it has exceeded my expectations.
637	;drivers	If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.
638	;speakers;keyboard	The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.
639	;use	  Now, as easy as it is to use, and I do think it is a great STARTER laptop.
640	;setting;screen size;pixel sizes	Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.
641	;pre installed software update	It had some kind of pre installed software update that completely shut the computer down when you clicked it.
642	;customer services;toshiba customer services	Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.
643	;space bar	Also, the space bar makes a noisy click every time you use it.
644	;iphotos;program	iPhotos is an excellent program for storing and organizing photos.
645	;performing	Other than that its a great performing machine and well meets all my needs and more.
646	;software;software;booting	"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting."
647	;programs;iphoto;imail;imovie	The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.
648	;software	The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.
649	;use;transport	Comfterbale to use light easy to transport.
650	;repair depot	The Computer itself is a good product but the repair depot stinks.
651	;price;specs	I thought the price was great for the specs.
652	;cd drive	the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.
653	;hard disk capacity	So, the hard disk capacity really doesn't matter to me.
654	;keys	Keys stick periodically and I havent had the laptop for 45 days yet.
655	;trackpad	I also like that you can scroll down in a window using two fingers on the trackpad.
656	;design;os	Everything from the design to the OS is simple and to the point.
657	;shipping	I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.
658	;gaming look;gaming performance	I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.
659	;hard drive	This just keeps having it's hard drive replaced!
660	;cost	When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.
661	;volume control	The only downfall is the volume control.
662	;boot up;shut down	Very fast boot up and shut down.
663	;price	I finally decided on this laptop because it was the right price for what I need it.
664	;internet connectivity;usb wireless card	If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.
665	;sound	I had read online that some users were having sound problems.
666	;cost	My last computer, a Toshiba, cost only $400, and worked like a charm for many years.
667	;discharges	It discharges too quickly.
668	;compatibility	But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.
669	;charging	Then it ceased charging at all.
670	;stand;design;heat sink	I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.
671	;webcam	*=Webcam is a bit laggy, not the greatest.
672	;trend micro;antiviral program	I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.
673	;warrenty	The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.
674	;plastic piece;usb port wires	I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.
675	;case design	Wonderful sleek case design is only on the outside.
676	;connection	It is speedy when connected wirelessly to any network regardless if the connection is weak or not.
677	;pricing	The pricing is very competitive.
678	;built-in wireless	Connecting to my wireless router via built-in wireless took no time at all.
679	;screen size;processing power	This computer is exceptionally thin for it's screen size and processing power.
680	;applications	I have not had a problem with the applications quitting or freezing.
681	;screen	Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black.
682	;programs	This wiped out several programs that were installed on the computer when it was bought.
683	;graphics;graphics	It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.
684	;vista;programs;install;uninstall 	I have Vista, so I am unable to install and uninstall  some programs.
685	;screen;keyboard	The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.
686	;mouse	the mouse jumps around all the time and it clicks stuff i dont want it too.
687	;noise	For those that care about noise this thing doesn't really make any;
688	;iworks;itunes;ms office	I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.
689	;performance	The macbooks are small enough to be very portable yet hold tons of information and performance.
690	;iwork;software;price	The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.
691	;bios;windows	Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).
692	;application;os x;boot camp;windows	BUT there's this application called Boot Camp which allows you to add another OS X like Windows.
693	;mousepad	The mousepad is a huge pain in the arse!
694	;windows 7	I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.
695	;applecare;extended warranty	) I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.
696	;windows;programs;cad programs;bootcamp	I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.
697	;memory	Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.
698	;operation	  since then i have had minor problems with slow operation.
699	;use	Registration/1st use is easy.
700	;tutorials	Take your time and go through the tutorials patiently.
701	;mouse pad;right click key	  This time the mouse pad and right click key wouldn't work!
702	;battery;full charge	The first full charge of this battery got me only about 2 full hours.
703	;cordless mouse	I bought a cordless mouse for it, but don't always take it out;
704	;runs	i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.
705	;toshiba tech support;techs	It took Toshiba tech support 4 calls and 4 different techs to correct the problem.
706	;charged	They only stay charged a little over an hour.
707	;usb ports	The 4 USB ports are nice, but the two on the side only work now and then.
708	;tech support;online chat	  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.
709	;keyboard	Keyboard could use some trimming.
710	;color	Its white color is stylish for college students and easy to take to carry and take to classes.
711	;keyboard;speaker grill;buttons;usb ports	Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.
